[00:00:00,000 -> 00:00:01,840] 大家沒有意識到這樣的思維方式
[00:00:01,840 -> 00:00:03,339] 對自己其實是最有害的
[00:00:03,339 -> 00:00:04,700] 就是你其實害的是自己
[00:00:04,740 -> 00:00:06,240] 對我也懶得解釋這些事情了
[00:00:06,240 -> 00:00:09,000] 就是管更多的人當更高的職位
[00:00:09,140 -> 00:00:12,099] 曾經我肯定一度是覺得這件事情很有意義
[00:00:12,099 -> 00:00:13,900] 但是我忘了是什麼時候開始
[00:00:13,900 -> 00:00:14,839] 我覺得沒意義
[00:00:15,199 -> 00:00:16,239] 然後想不起來了
[00:00:16,300 -> 00:00:17,760] 我想不起來他為什麼有意義了
[00:00:17,760 -> 00:00:19,039] 能提醒一下我嗎
[00:00:19,339 -> 00:00:21,640] 我不能說完完全全不因為你的意志而改變
[00:00:21,640 -> 00:00:23,140] 他就很難因為你的意志而改變
[00:00:23,140 -> 00:00:25,940] 但是這個不應該是一個阻止你去
[00:00:25,940 -> 00:00:27,940] move forward的一件事情
[00:00:27,940 -> 00:00:28,440] 沒錯
[00:00:30,739 -> 00:00:32,740] 那提到我自己想聊的一些東西
[00:00:32,740 -> 00:00:33,479] 或者我自己想學的
[00:00:33,479 -> 00:00:34,579] 我蠻感興趣的
[00:00:34,579 -> 00:00:35,079] 就是
[00:00:36,780 -> 00:00:37,380] 你看
[00:00:38,020 -> 00:00:39,579] 克萊寶你這個從
[00:00:40,179 -> 00:00:40,679] 嗯
[00:00:41,380 -> 00:00:43,619] 從美國回到中國
[00:00:44,079 -> 00:00:44,979] 這樣的一個
[00:00:45,119 -> 00:00:46,399] 就這個其實
[00:00:46,399 -> 00:00:48,439] 很多人可以說這個機會不錯
[00:00:48,439 -> 00:00:50,759] 但其實是一個非常大的改變
[00:00:50,759 -> 00:00:51,259] 對吧
[00:00:51,259 -> 00:00:52,039] 是
[00:00:52,039 -> 00:00:55,619] 我之前那個合作的engineer manager
[00:00:55,619 -> 00:00:56,399] 有講這句話
[00:00:56,399 -> 00:00:58,179] 就是我完全approved myself
[00:00:58,179 -> 00:01:00,479] 然後下租的房子
[00:01:00,479 -> 00:01:02,520] 一屋子所有東西
[00:01:02,520 -> 00:01:06,640] 而且你自己也從來沒有在深圳这样一个城市生活过
[00:01:06,640 -> 00:01:07,719] 对吧 这还好
[00:01:07,719 -> 00:01:09,920] 对 但是那就是你的这个
[00:01:11,519 -> 00:01:13,400] 动力或者说motivation在哪里
[00:01:14,560 -> 00:01:16,840] 回来的最重要的原因就是这个工作
[00:01:16,840 -> 00:01:19,200] 我知道我其实没有那么喜欢国内的生活
[00:01:19,200 -> 00:01:20,840] 我更喜欢美国的生活
[00:01:20,840 -> 00:01:23,439] 然后回来就是因为这个游戏行业
[00:01:23,439 -> 00:01:28,299] 我是一个很喜欢的行业腾變是一家我覺得可以試一試的公司
[00:01:28,299 -> 00:01:31,700] 然後我在面試的時候給我的體驗非常好
[00:01:31,700 -> 00:01:33,000] 然後turn out to be true
[00:01:33,000 -> 00:01:35,799] 就是如果不是因為這些老闆們很好的話
[00:01:35,799 -> 00:01:36,599] 我早就走了
