[00:00:00,000 -> 00:00:04,240] 但是我觉得绝大多数人担心上镜
[00:00:04,240 -> 00:00:08,839] 可能还是有一些对这件事情的misconception
[00:00:08,839 -> 00:00:11,119] 就是上镜没有大家想的那么难
[00:00:11,119 -> 00:00:15,199] 然后大家在镜头前的表现其实一般会比自己想象的好
[00:00:15,199 -> 00:00:18,960] 然后互联网的善意还是更多一些
[00:00:18,960 -> 00:00:22,640] 这里边不太可能 就是很多人是我做之前就会想
[00:00:22,640 -> 00:00:23,839] HR什么时候找我
[00:00:23,839 -> 00:00:25,120] 然后别人这样说我了
[00:00:25,120 -> 00:00:26,920] 然后别人甚至造谣什么东西
[00:00:26,960 -> 00:00:28,160] 会不会对我有什么影响
[00:00:28,160 -> 00:00:29,079] 其实就发现
[00:00:29,079 -> 00:00:30,920] 多到现实世界上没什么影响
[00:00:31,600 -> 00:00:36,119] 你在做这件事情之前有去积极的explore
[00:00:36,119 -> 00:00:37,359] 就是或者去问
[00:00:38,000 -> 00:00:39,679] 比如说HR或者是其他人
[00:00:39,719 -> 00:00:41,320] 这个事情会不会对你有影响
[00:00:41,320 -> 00:00:42,960] 还是说你就先做了做了以后
[00:00:43,000 -> 00:00:47,640] 我问就是就是就是做之前先跟老板问了一下行不行
[00:00:47,640 -> 00:00:49,920] 老板说你可能要去看一下那internal policy
[00:00:49,920 -> 00:00:53,039] 看了policy说可以 但是不能blah blah blah
[00:00:53,039 -> 00:00:54,200] 然后要去做一个申请
[00:00:54,200 -> 00:00:56,320] 然后得到secretary manager同意
[00:00:56,679 -> 00:00:58,119] 然后就这样了
[00:00:58,119 -> 00:00:58,799] I see
[00:00:59,399 -> 00:01:01,320] 这肯定policy也要遵守的
[00:01:02,000 -> 00:01:05,599] 那是我的意思就是更广泛的说不一定是那种因为除了有公司policy也要遵守的那是我的意思就是更广泛的说
[00:01:05,599 -> 00:01:06,480] 不一定是那种
[00:01:06,480 -> 00:01:07,879] 因为除了有公司的policy
[00:01:07,879 -> 00:01:09,280] 然后有其他的比如说
[00:01:09,599 -> 00:01:12,000] 就有的时候policy你没有办法保
[00:01:12,000 -> 00:01:13,879] 因为policy都是人写的
[00:01:13,879 -> 00:01:16,239] 它不可能是一个百分之百的一个
[00:01:16,239 -> 00:01:18,120] 你不要违反policy
[00:01:18,120 -> 00:01:19,439] 第一你不要违反policy
[00:01:19,439 -> 00:01:20,519] 这个是百分之百的
[00:01:20,519 -> 00:01:23,000] 如果违反policy就一定会有问题
[00:01:23,000 -> 00:01:26,200] 只是侥幸的没有发生问题而已但是在你说的是在没有违反policy就一定会有问题只是侥幸的没有发生问题而已
[00:01:26,200 -> 00:01:29,400] 但是在你说的是在没有违反policy的情况下
[00:01:29,400 -> 00:01:32,000] 也有可能比如说别人对你造谣
[00:01:32,000 -> 00:01:35,200] 我刚来公司就有一个傻逼小红书博主
[00:01:35,200 -> 00:01:37,400] 他其实还follow我的instagram
[00:01:37,400 -> 00:01:39,099] 然后是我微信好友
[00:01:39,099 -> 00:01:42,099] 我们之前还线下见面什么都有
[00:01:42,099 -> 00:01:46,640] 然后我们公司这边我过来带着公共服务套茶具
[00:01:46,640 -> 00:01:48,519] 然后同事们觉得很新奇
[00:01:48,519 -> 00:01:53,159] 然后有两个同事就说一起喝就是喝茶
[00:01:53,159 -> 00:01:56,879] 然后他们开玩笑就是跪着跪在那里
[00:01:56,879 -> 00:02:01,719] 然后去看我看我看我看我这个倒茶
[00:02:01,719 -> 00:02:04,480] 然后我公司的另外一个做marketing的同事说
[00:02:04,480 -> 00:02:05,239] 这个好有趣然后拍下来拍下来以后做marketing的同事说这个好有趣
[00:02:05,239 -> 00:02:06,159] 然后拍下来
[00:02:06,159 -> 00:02:07,120] 拍下来以后
[00:02:07,120 -> 00:02:08,719] 那两个同事就说
[00:02:08,719 -> 00:02:09,360] 这个好有趣
[00:02:09,360 -> 00:02:10,800] 发到我们公司的Instagram上
[00:02:10,800 -> 00:02:11,759] 因为我们公司Instagram上
[00:02:11,759 -> 00:02:14,280] 经常发Office里面的各种各样的东西
[00:02:14,280 -> 00:02:15,439] 然后就发到Instagram上来
[00:02:15,439 -> 00:02:16,639] 我们都觉得这个东西挺好玩
[00:02:16,639 -> 00:02:17,560] 然后转发
[00:02:17,560 -> 00:02:19,800] 然后那个人就发了一个小红书
[00:02:19,800 -> 00:02:23,280] 然后说西雅图这个什么什么
[00:02:23,280 -> 00:02:25,520] 领导强迫女员工给他下跪
[00:02:25,520 -> 00:02:30,319] 问题是他也没有去在公司的Instagram
[00:02:30,319 -> 00:02:32,400] 我的Instagram或者我的微信上去跟我
[00:02:32,400 -> 00:02:33,199] 确认到底
[00:02:33,199 -> 00:02:35,680] 不是他不光确认就是他哪怕生气吧
[00:02:35,680 -> 00:02:37,199] 他起码可以来骂我
[00:02:37,199 -> 00:02:38,719] 他没有 他直接就发了一个小红书
[00:02:38,719 -> 00:02:40,319] 他就是为了所谓的流量
[00:02:40,319 -> 00:02:41,520] 是
[00:02:41,520 -> 00:02:44,840] 然后当这个事情其实造成了蛮大的不好的影响的
[00:02:44,840 -> 00:02:48,080] 不好的影响其实是这两个女生
[00:02:48,080 -> 00:02:49,960] 然后就很难受
[00:02:49,960 -> 00:02:54,759] 然后觉得就是给公司和自己和我都造成了很大的困扰
[00:02:54,759 -> 00:02:57,400] 因为那个小红书的帖子瞬间红
[00:02:57,400 -> 00:02:59,120] 然后我们这个marketing的人
[00:02:59,120 -> 00:03:00,599] 然后去跟公司去确认
[00:03:00,599 -> 00:03:05,400] 然后就是就公司了解这件事情的前因后果
[00:03:05,400 -> 00:03:08,000] 所以说就处理的我觉得也很好
[00:03:08,000 -> 00:03:10,599] 可是就是会有这种傻逼的行为
[00:03:10,599 -> 00:03:13,300] 然后这种事情如果说在酝酿成一个网爆的事件
[00:03:13,300 -> 00:03:15,699] 甚至可能是针对一个公司的事件
[00:03:15,699 -> 00:03:16,699] 都会有
[00:03:16,699 -> 00:03:20,199] 对 这个可能是一个比较代表性的
[00:03:20,199 -> 00:03:22,099] 我对互联网的一个concern
[00:03:22,099 -> 00:03:23,900] 这个基本上已经是恶意的极限了
[00:03:23,900 -> 00:03:24,699] 对对对
[00:03:24,699 -> 00:03:28,199] 但是我觉得最后想的是你做的事情是不是
[00:03:28,199 -> 00:03:29,639] 问心无愧了
[00:03:29,639 -> 00:03:32,560] 然后你这个risk是不是值得你的
[00:03:32,560 -> 00:03:33,199] 不是risk
[00:03:33,199 -> 00:03:36,960] 就是我觉得他也许在一件事情上
[00:03:36,960 -> 00:03:38,800] 因为到现在为止其实
[00:03:38,800 -> 00:03:43,800] 我相信对当事人还是有一些感情伤害的
[00:03:43,800 -> 00:03:47,300] 可是我觉得我们是在做一个正确的事情
[00:03:47,300 -> 00:03:49,300] 以及他是在做一个错的事情
[00:03:49,300 -> 00:03:51,300] 那你需不需要在这个世界中
[00:03:51,300 -> 00:03:54,300] 就是让正确的事情去战胜错误的事情
[00:03:54,300 -> 00:03:55,300] 我觉得需要
[00:03:55,300 -> 00:04:00,599] 所以就是不要因为错误的事情影响你去做正确的事情
[00:04:00,599 -> 00:04:04,000] 别人错不是别人错误的事情来影响你去做正确的事情
[00:04:04,000 -> 00:04:06,000] 对这肯定这是很重要的
[00:04:06,000 -> 00:04:11,000] 但是其实有一点所谓的坚持正义的感觉
[00:04:11,000 -> 00:04:12,000] 不是这种广义的
[00:04:12,000 -> 00:04:14,000] 而是说你觉得这个事情是对的
[00:04:14,000 -> 00:04:16,000] 就回到最一开始我们说的
[00:04:16,000 -> 00:04:17,000] 就是世界太复杂了
[00:04:17,000 -> 00:04:19,000] 我们试图归因
[00:04:19,000 -> 00:04:21,000] 但是我们其实很多时候归因是错的
[00:04:21,000 -> 00:04:24,000] 你能做到的所有就是
[00:04:24,000 -> 00:04:25,800] 你向着正确的方向
[00:04:25,800 -> 00:04:27,000] 多做正确的事儿
[00:04:27,000 -> 00:04:29,199] 那你大概的相信大结果是好的
[00:04:29,199 -> 00:04:32,399] 我觉得这个比你说我被网爆了
[00:04:32,399 -> 00:04:33,699] 所以说我不能怎么怎么样
[00:04:33,699 -> 00:04:36,399] 可能是一个更好的归因方向
[00:04:36,399 -> 00:04:38,800] 或者换一个角度说可能又有一点
[00:04:38,800 -> 00:04:42,600] 不知道是不是有一点过于用词过大
[00:04:42,600 -> 00:04:44,600] 就是勇敢的勇敢的面对这个事情
[00:04:44,600 -> 00:04:45,560] 当然不一定说这个事情过大就是勇敢的勇敢的面对这个事情
[00:05:06,000 -> 00:05:08,000] 当然不一定说这个事情需要你多勇敢对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对这个东西就谁知道了对 因为很多时候特别是我觉得说我个人了
[00:05:08,000 -> 00:05:10,000] 说中国传统文化
[00:05:10,000 -> 00:05:12,000] 就是说
[00:05:12,000 -> 00:05:14,000] 文生发大财 向来竖头鸟
[00:05:14,000 -> 00:05:16,000] 对对
[00:05:16,000 -> 00:05:18,000] 或者中庸之道
[00:05:18,000 -> 00:05:20,000] 中庸之道其实是一个误解
[00:05:20,000 -> 00:05:22,000] 是一个误解
[00:05:22,000 -> 00:05:24,000] 原文不是这个意思
[00:05:24,000 -> 00:05:26,000] 取法中文
[00:05:26,000 -> 00:05:28,000] 不是这个意思
