[00:00:00,000 -> 00:00:02,359] 我们认为在未来其实所有的企业
[00:00:02,359 -> 00:00:04,160] 多多少少都会跟AI有关系
[00:00:04,160 -> 00:00:06,080] 这一套成熟到这个大法体系
[00:00:06,080 -> 00:00:07,240] 这个是上一个世代
[00:00:07,240 -> 00:00:08,679] 其实我们留下的一个很值得
[00:00:08,679 -> 00:00:10,880] 现在这一批AI创业者他们去学习
[00:00:10,880 -> 00:00:11,919] 你只要开始做实验
[00:00:11,919 -> 00:00:14,240] 你就会发现你80% 90%的想法都是错的
[00:00:14,240 -> 00:00:15,679] 但是你不做实验你不知道
[00:00:15,679 -> 00:00:20,079] 绝大部分的人其实是有成长的诉求
[00:00:20,079 -> 00:00:22,199] 但是成长的诉求不一定是创业
[00:00:22,199 -> 00:00:23,839] 过去那么多web3
[00:00:23,839 -> 00:00:26,000] 然后元宇宙什么的东西的
[00:00:26,000 -> 00:00:28,000] 我都没有觉得包括自动驾驶什么的
[00:00:28,000 -> 00:00:31,519] 我都觉得没有什么提成了不一样的东西
[00:00:31,519 -> 00:00:34,439] 但是这次的就是generative AI
[00:00:34,439 -> 00:00:35,840] 我是真的觉得很不一样
[00:00:35,840 -> 00:00:36,240] 对
[00:00:36,240 -> 00:00:38,159] 可是另外我又觉得
[00:00:38,679 -> 00:00:41,039] 我在觉得特别不一样的时候
[00:00:41,039 -> 00:00:43,479] 也没有要去非要去投身在这里边
[00:00:43,479 -> 00:00:43,880] 对
[00:00:43,880 -> 00:00:44,880] 因为我觉得还早
[00:00:44,880 -> 00:00:48,000] 今年你能感觉到这个行业各种信息啊
[00:00:48,000 -> 00:00:50,000] 各种情况非常多
[00:00:50,000 -> 00:00:54,500] 就是说这个大模型整整体的这个这个创业到底是要怎么去应用这个OpenAI
[00:00:54,500 -> 00:00:55,899] 比如应用这个Gemini
[00:00:55,899 -> 00:00:58,299] 大家有一个充分的认知了以后啊
[00:00:58,299 -> 00:01:00,600] 包括这些大企业他们尘埃落定了以后
[00:01:00,600 -> 00:01:03,500] 更多的就是看后面的这些这些应用从到底怎么跑
[00:01:03,500 -> 00:01:04,900] 然后对于基金来说的话呢
[00:01:04,900 -> 00:01:07,959] 其实我们从一开始并沒有把這個AI作為一個特別
[00:01:07,959 -> 00:01:11,400] 特別非得說是我們專門去看這個AI賽道
[00:01:11,400 -> 00:01:13,879] 去標榜自己看AI這樣子的一個角度
[00:01:13,879 -> 00:01:16,920] 因為就像你現在你說哪一個基金到今天
[00:01:16,920 -> 00:01:20,000] 你說90年代那個時候有人說自己是做互聯網的
[00:01:20,000 -> 00:01:20,319] 對吧
[00:01:20,319 -> 00:01:22,599] 你現在你看哪一個基金說我自己投互聯網
[00:01:22,599 -> 00:01:24,200] 因為所有的企業都是互聯網
[00:01:24,200 -> 00:01:24,760] 對吧
[00:01:24,760 -> 00:01:25,480] 那AI其實一樣道理我們認為就是在未來互聯網的對吧你現在你看哪一個基金說我自己投互聯網因為所有的企業都是互聯網
