[00:00:00,000 -> 00:00:03,080] 所以当时我们也算幸运抢到一个特别好的location
[00:00:03,080 -> 00:00:04,719] 才把这个开起来
[00:00:04,719 -> 00:00:07,000] 如果缺这个好的location可能也就开不起来了
[00:00:07,360 -> 00:00:09,199] 好得到了一个好的location
[00:00:09,199 -> 00:00:10,240] 因为之前有经验
[00:00:10,240 -> 00:00:12,039] 然后你得到了一个好的location之后
[00:00:12,039 -> 00:00:13,359] 还有1万个坑在等着你
[00:00:13,359 -> 00:00:14,599] 对这就是创业
[00:00:14,759 -> 00:00:17,000] 最重要一个原理就是在学校里面是一个
[00:00:17,239 -> 00:00:18,440] 叫充分条件社会
[00:00:18,440 -> 00:00:19,719] 就是你做了A就有B
[00:00:19,719 -> 00:00:21,399] 大厂里面大公司也是这样
[00:00:21,399 -> 00:00:22,399] 你做了A就有B
[00:00:22,399 -> 00:00:24,079] 他可以把你这个世界构建出一个可控的
[00:00:24,079 -> 00:00:26,399] 但是真正创业的时候是一个野外是一个必要条件社這樣你做了A就有B他可以把你這個世界構建出一個可控的但是真正創業的時候是一個野外
[00:00:26,399 -> 00:00:28,199] 是一個必要條件的時候
[00:00:28,199 -> 00:00:29,300] 你有了A不一定有B
[00:00:29,300 -> 00:00:31,000] 沒有A肯定沒有B對吧
[00:00:31,000 -> 00:00:33,399] 所以我們之前創造的所有的事情
[00:00:33,399 -> 00:00:36,500] 都可能造成我們缺了這個就做不起來
[00:00:36,500 -> 00:00:39,200] 但是你即使有了這個也可能會死
[00:00:39,200 -> 00:00:42,100] 這個充分條件和必要條件是你自己的發明嗎
[00:00:42,100 -> 00:00:43,200] 還是別人講過
[00:00:43,200 -> 00:00:44,100] 是我自己想的
[00:00:44,100 -> 00:00:46,000] 這個好牛 必要這個概念
[00:00:46,000 -> 00:00:48,200] 這個概念是一個非常高度的總結
[00:00:48,200 -> 00:00:52,799] 所以你要是習慣於必要條件這個感受
[00:00:52,799 -> 00:00:54,600] 會體驗一個不一樣的人生吧
[00:00:54,600 -> 00:00:55,200] 我覺得
[00:00:55,200 -> 00:00:57,600] 這個人生很痛苦很不確定
[00:00:57,600 -> 00:01:00,000] 但是同時也有很多有意思的事情
[00:01:00,000 -> 00:01:01,399] 你會每天不感到無聊
