[00:00:00,000 -> 00:00:02,200] 利昂要退休了,退休两年
[00:00:02,200 -> 00:00:03,919] 是,为什么退休两年呢?
[00:00:03,919 -> 00:00:05,480] 收支加息本身是错的呢
[00:00:05,480 -> 00:00:08,320] 拿工资产生现金流的手铐就可以解除了
[00:00:08,320 -> 00:00:10,039] 因为我们的资产替我们工作去
[00:00:10,039 -> 00:00:11,119] 孩子到了18岁
[00:00:11,119 -> 00:00:12,080] 我会说你放心
[00:00:12,080 -> 00:00:14,080] 爸爸一分钱不会给你留
[00:00:14,080 -> 00:00:17,879] 但是我们可以让他们在18岁以前
[00:00:17,879 -> 00:00:19,679] 就把自己的第一个100万挣到
[00:00:19,679 -> 00:00:23,120] 未来越来越多的人会生活的below的API
[00:00:23,120 -> 00:00:26,600] 也就是每天的工作就在执行机器分配的任务
[00:00:26,600 -> 00:00:27,440] Hello大家好
[00:00:27,440 -> 00:00:28,640] 欢迎回到看KW的一正
[00:00:28,640 -> 00:00:30,079] 我们今天又找到Liang了
[00:00:30,359 -> 00:00:31,239] 大家好
[00:00:31,239 -> 00:00:35,000] Liang最近有一些人生的巨大的变化
[00:00:35,000 -> 00:00:37,240] 就是在我看来非常太棒了
[00:00:37,240 -> 00:00:39,960] 但是对Liang来说反而是一件很自然的事情
[00:00:40,479 -> 00:00:43,920] 是其实很多这些变化也是过去一段时间以来
[00:00:43,920 -> 00:00:45,000] 一直在思考
[00:00:45,000 -> 00:00:47,359] 思考有關於人生的意義
[00:00:47,359 -> 00:00:48,799] 關於有關財富
[00:00:48,799 -> 00:00:51,479] 有關一些這種哲學問題的思考
[00:00:51,479 -> 00:00:53,240] 有關孩子教育
[00:00:53,240 -> 00:00:54,880] 有關旅行
[00:00:54,880 -> 00:00:56,920] 有關遇到新的人
[00:00:56,920 -> 00:00:58,039] 產生新的體驗
[00:00:58,039 -> 00:00:59,240] 產生新的想法
[00:00:59,240 -> 00:01:02,320] 然後呢逐漸的思考的一些沉澱吧
[00:01:02,320 -> 00:01:06,500] 然後這個大決定就是Leon要退休了
[00:01:07,000 -> 00:01:09,200] 但是其實退休兩年
[00:01:09,400 -> 00:01:11,000] 是為什麼退休兩年呢
[00:01:11,000 -> 00:01:13,700] 其實我覺得現在去說一下退休
[00:01:13,700 -> 00:01:15,900] 未來三四十年都退休太早了
[00:01:15,900 -> 00:01:18,700] 然後退休兩年其實是一個
[00:01:19,000 -> 00:01:22,299] 我們一直以來的各種的努力啊
[00:01:22,299 -> 00:01:23,900] 咱們從上學啊工作啊
[00:01:23,900 -> 00:01:26,319] 一直讓我們有越來越多的選擇
[00:01:26,319 -> 00:01:28,519] 讓我們可以選擇去退休
[00:01:28,519 -> 00:01:31,799] 那這個選擇就像也就叫做一種option
[00:01:31,799 -> 00:01:32,480] 它其實呢
[00:01:32,480 -> 00:01:33,920] 就像在金融學裡一樣
[00:01:33,920 -> 00:01:35,439] 這個option的價值
[00:01:35,439 -> 00:01:37,280] 如果我們是會時間的流
[00:01:37,280 -> 00:01:39,400] 隨著時間的流逝是會降低的
[00:01:39,400 -> 00:01:41,719] 這個option我們不用等到65歲
[00:01:41,719 -> 00:01:43,959] 這個option的價值可能就趨向於零了
[00:01:43,959 -> 00:01:45,299] 所以我們既然有這個option那就用吧你有這個option我不65歲這個option的價值可能就趨向於零了所以我們既然有這個option
[00:01:45,299 -> 00:01:46,200] 那就用吧
