[00:00:00,000 -> 00:00:01,600] 跟一个你不是完全认可的人
[00:00:01,700 -> 00:00:03,100] 做一件你觉得很有意思的事
[00:00:03,200 -> 00:00:04,860] 对比一个你很认可的人
[00:00:04,960 -> 00:00:07,940] 做一件好像看似没什么意义的事
[00:00:08,039 -> 00:00:08,980] 你选择哪一个
[00:00:09,080 -> 00:00:11,380] 我完全不太会被打脸这件事情
[00:00:11,480 -> 00:00:13,460] 就是因为我不怕错
[00:00:13,560 -> 00:00:14,820] 你可能会发现这件事
[00:00:14,919 -> 00:00:16,260] 做砸了以后也没什么问题
[00:00:16,359 -> 00:00:18,480] 然后之后你做事就会大改一天
[00:00:18,579 -> 00:00:21,500] 我的这个惯性是来自于
[00:00:21,600 -> 00:00:24,820] 我从小到大都是这样生活的
[00:00:24,920 -> 00:00:25,000] 然后这样的生活模式那这种惯性是来自于我从小到大都是这样生活的
[00:00:25,000 -> 00:00:29,000] 然后这样的生活模式也给了我
[00:00:29,000 -> 00:00:32,000] 就是很快乐的经历
[00:00:32,000 -> 00:00:35,000] 就是我fulfill爸妈的想法和老师的想法
[00:00:35,000 -> 00:00:37,000] 然后我就非常的开心
[00:00:37,000 -> 00:00:40,000] 然后我就会慢慢的形成一种习惯
[00:00:40,000 -> 00:00:42,000] 你会把这种习惯带到工作中
[00:00:42,000 -> 00:00:44,000] 然后去fulfill老板的demand
[00:00:44,000 -> 00:00:45,119] 然后你会开心吗的demand然后当然会啊
[00:00:46,560 -> 00:00:47,719] 就当然会啊
[00:00:48,240 -> 00:00:49,640] 所以所以这也是为什么
[00:00:49,640 -> 00:00:50,640] 以后要挖她的话
[00:00:50,640 -> 00:00:51,759] 哈哈哈哈
[00:00:51,759 -> 00:00:53,640] 所以这也是为什么就是
[00:00:53,960 -> 00:00:56,719] 呃就是我们刚刚讲的就是我老板
[00:00:56,719 -> 00:00:58,960] 其实并不想限制我
[00:00:59,200 -> 00:01:01,679] 但是我没有太多的
[00:01:02,320 -> 00:01:03,399] 我刚吃了好多
[00:01:03,520 -> 00:01:05,280] 但是我并没有太多的
[00:01:05,480 -> 00:01:08,319] 就我不太敢initiate一些事情
[00:01:08,319 -> 00:01:10,000] 因为这个不在我的
[00:01:10,879 -> 00:01:13,359] 就是熟悉的路径依赖里面
[00:01:13,359 -> 00:01:16,400] 我习惯的模式应该是别人提出了一个东西
[00:01:16,400 -> 00:01:19,120] 然后我其实很习惯做execution
