[00:00:00,000 -> 00:00:02,160] Hello大家好欢迎回到Code with 雷正
[00:00:02,160 -> 00:00:04,400] 今天我们聊一下为什么复制一个
[00:00:04,400 -> 00:00:07,280] XGPT可能不像大家想的那么简单
[00:00:07,559 -> 00:00:10,320] 其实大家也看到了很多XGPT的复制产品
[00:00:10,560 -> 00:00:11,759] 国内国外的都有
[00:00:11,960 -> 00:00:13,599] 国内的我就不点名了
[00:00:13,599 -> 00:00:15,720] 但是不管是大公司还是小公司
[00:00:15,720 -> 00:00:19,760] 其实都有很多复制XGPT形式的这样的产品
[00:00:19,920 -> 00:00:22,199] 国外最著名的就是谷歌的BART
[00:00:22,199 -> 00:00:24,280] 然后也有很多开源的模型
[00:00:24,320 -> 00:00:28,280] 这些产品他们或多或少的也会去宣称自己
[00:00:28,280 -> 00:00:32,000] 在某些任务上是比XGPT的效果更好
[00:00:32,039 -> 00:00:33,560] 最近还有一个开源模型
[00:00:33,600 -> 00:00:35,920] 说自己是GPT-4认证的
[00:00:35,920 -> 00:00:39,799] 达到了3.5的XGPT的80%的水平
[00:00:40,000 -> 00:00:42,079] 这些东西就很扯
[00:00:42,079 -> 00:00:44,159] 因为大家真的去试用以后
[00:00:44,159 -> 00:00:47,079] 发现其实那些模型根本就无法使用
[00:00:47,079 -> 00:00:49,240] 他们空有一个对话的生成方式
[00:00:49,240 -> 00:00:51,280] 可是底层大模型的能力天差地别
[00:00:51,280 -> 00:00:53,560] 就表现在虽然都是在说话
[00:00:53,560 -> 00:00:55,960] 但是一个是正常人
[00:00:55,960 -> 00:00:58,439] 或者说优秀的有理解能力的人在说话
[00:00:58,479 -> 00:01:00,079] 一个就像是智障在说话
[00:01:00,119 -> 00:01:02,159] 那你跟一个智障对话有什么帮助呢
[00:01:02,159 -> 00:01:03,320] 肯定是没有帮助的
[00:01:03,479 -> 00:01:05,319] 我也跟业内的同学聊过
[00:01:05,319 -> 00:01:09,359] 就是你想做一个generative的large language model
[00:01:09,359 -> 00:01:12,120] 用对话的形式去生成一篇对话
[00:01:12,120 -> 00:01:14,200] 其实这个难度也没有那么大
[00:01:14,200 -> 00:01:16,200] 就是很多团队
[00:01:16,200 -> 00:01:20,359] 然后花个几百万的人民币的钱都可以做到
