[00:00:00,000 -> 00:00:01,679] Hello大家好歡迎回到開台北地區
[00:00:01,679 -> 00:00:02,799] 我是你們的開台表
[00:00:02,799 -> 00:00:05,000] 今天是3月18號
[00:00:05,160 -> 00:00:07,280] 週六我們這個週發生了很多大事
[00:00:07,280 -> 00:00:09,039] GPT-4震撼發布
[00:00:09,160 -> 00:00:11,039] Microsoft 365震撼發布
[00:00:11,240 -> 00:00:12,880] 那大家就產生了很多焦慮
[00:00:13,080 -> 00:00:14,880] 我覺得很明顯在一個月之前
[00:00:14,880 -> 00:00:16,120] 我在跟大家聊的時候
[00:00:16,120 -> 00:00:18,039] 很多人還說這個東西有很多問題
[00:00:18,039 -> 00:00:20,800] 結果這個週大家都已經覺得
[00:00:20,800 -> 00:00:23,559] 我靠這個東西已經可以取代我了
[00:00:23,559 -> 00:00:24,480] 我該怎麼辦
[00:00:24,519 -> 00:00:27,000] 進入了一個很panic的階段
[00:00:27,120 -> 00:00:28,760] 我覺得這兩種都是不對的
[00:00:28,760 -> 00:00:29,760] 它就是很牛逼
[00:00:29,760 -> 00:00:31,199] 它就是會帶來很多顛覆
[00:00:31,199 -> 00:00:32,240] 但是這個顛覆
[00:00:32,240 -> 00:00:33,799] 你如果知道如何應對它
[00:00:33,799 -> 00:00:35,560] 你就不需要這麼焦慮
[00:00:35,679 -> 00:00:37,359] 這些視頻我就講這兩點
[00:00:37,359 -> 00:00:37,840] 第一
[00:00:37,840 -> 00:00:39,240] 為什麼你不需要焦慮
[00:00:39,280 -> 00:00:41,600] 不是說它不會給你帶來很大改變
[00:00:41,600 -> 00:00:43,600] 它會給我們帶來非常大的改變
[00:00:43,600 -> 00:00:45,899] 就像電腦給人類帶來的改變一樣
[00:00:45,899 -> 00:00:48,500] 可是你如果作為一個快速學會電腦的人
[00:00:48,500 -> 00:00:50,000] 那你就會獲益
[00:00:50,000 -> 00:00:51,799] 所以說我再分享一下
[00:00:51,799 -> 00:00:54,299] 我覺得在ChattyPT紀元裡面
[00:00:54,299 -> 00:00:55,500] 什麼是真正的能力
[00:00:55,500 -> 00:00:56,899] 好話不多說我們就開始了
[00:00:56,899 -> 00:00:59,600] 第一個就是為什麼不需要焦慮這件事情
[00:00:59,600 -> 00:01:01,500] 其實周五的時候我在騰訊研究院
[00:01:01,500 -> 00:01:02,899] 跟大家做了一個分享
[00:01:02,899 -> 00:01:04,000] 就像我那篇文章
[00:01:04,000 -> 00:01:06,799] 而且我那篇文章又重新加了很多东西
[00:01:06,799 -> 00:01:09,319] 包括从哲学的角度
[00:01:09,599 -> 00:01:14,120] 他心问题去看乐春等一系列大佬
[00:01:14,120 -> 00:01:16,040] 为什么觉得Chai GPT不这么厉害
[00:01:16,040 -> 00:01:17,359] 但是他现实这么厉害
[00:01:17,400 -> 00:01:20,519] 也加了一些为什么我觉得大厂是Chai GPT里边
[00:01:20,519 -> 00:01:22,120] 最大的赢家等等的观点
[00:01:22,159 -> 00:01:24,000] 大家有兴趣的话可以再回去看
[00:01:24,000 -> 00:01:25,719] 我链接还是继续放在下面
[00:01:25,719 -> 00:01:26,359] 我来
[00:01:26,359 -> 00:01:27,519] 我讲完这些东西以后
[00:01:27,519 -> 00:01:28,439] 有一个同学提问
[00:01:28,439 -> 00:01:29,560] 我学到了很多东西
[00:01:29,560 -> 00:01:30,760] 但是我最关心的还是
[00:01:30,760 -> 00:01:32,079] 我应该如何应对
[00:01:32,079 -> 00:01:34,760] 和我如何保住我眼下这个搬砖的工作
[00:01:34,760 -> 00:01:36,879] 因为你说的搬砖的工作都会被取代
[00:01:36,879 -> 00:01:37,480] 那我怎么办
[00:01:37,480 -> 00:01:38,040] 愣了一下
[00:01:38,040 -> 00:01:39,159] 我是这么回答的
[00:01:39,159 -> 00:01:40,599] 你不是一个搬砖的人
[00:01:40,599 -> 00:01:42,359] 你是一个软件工程师
[00:01:42,359 -> 00:01:43,680] 你是一个程序员
[00:01:43,680 -> 00:01:47,799] 你的工作里边有搬砖的这一部分也有不搬砖�的人,你是一個軟件工程師,你是一個程序員你的工作裡面有搬磚的這一部分,也有不搬磚的那一部分
[00:01:47,799 -> 00:01:51,000] 你真的願意去在你的工作裡面只搬磚嗎?
[00:01:51,000 -> 00:01:53,400] 我相信大多數人不是這樣的
[00:01:53,400 -> 00:01:58,200] 只是搬磚這件事情在我們拿工資這個體系裡面特別重要
[00:01:58,200 -> 00:02:01,400] 所以說我們不得不去搬磚,它繞不過去
[00:02:01,400 -> 00:02:05,799] 就好像種地,農民喜歡的是種地插秧
[00:02:05,799 -> 00:02:08,000] 彎著腰去插秧的那個勞動嗎
[00:02:08,000 -> 00:02:08,800] 不是的對吧
[00:02:08,800 -> 00:02:10,000] 農民想的是
[00:02:10,000 -> 00:02:11,699] 我把地種了以後我去收穫
[00:02:11,699 -> 00:02:14,199] 我想想怎麼樣子種出來更好的小麥
[00:02:14,199 -> 00:02:15,800] 種出來更好的水稻
[00:02:15,800 -> 00:02:18,400] 我怎麼樣子把這些東西賣個更高的價錢
[00:02:18,400 -> 00:02:19,500] 你的工作也是這樣的
[00:02:19,500 -> 00:02:22,900] 你應該是想想怎麼樣子更好的達成這個目標
[00:02:22,900 -> 00:02:26,240] 而不是把你的工作價值定義义在了班专本身
[00:02:26,240 -> 00:02:27,360] 为什么会产生
[00:02:27,360 -> 00:02:29,800] 很多人觉得自己的工作价值在于班专
[00:02:29,800 -> 00:02:32,800] 和很多人看到ChaiGBT为什么觉得自己马上要被取代了
[00:02:32,800 -> 00:02:37,039] 我这就引用一下刘家教授他的播客的一个说法
[00:02:37,039 -> 00:02:39,120] 我看了他的播客特别特别的喜欢
[00:02:39,120 -> 00:02:41,599] 我觉得我和他的所有的想法都是完全一样的
[00:02:41,599 -> 00:02:42,879] 他是我的嘴T
[00:02:42,879 -> 00:02:44,120] 我是很多人的嘴T
[00:02:44,120 -> 00:02:45,400] 但是他是我的嘴T如果大家有的嘴T但是他是我的嘴T
[00:02:45,400 -> 00:02:47,199] 如果大家有認識劉嘉教授的
[00:02:47,199 -> 00:02:48,639] 也請跟我介紹一下
[00:02:48,639 -> 00:02:50,759] 我特別想認識他和他聊一聊
[00:02:50,759 -> 00:02:53,919] 他就說我們因為過去的考試不考
[00:02:53,919 -> 00:02:56,520] 我們都在說素質教育多重要
[00:02:56,520 -> 00:02:59,599] 其實素質教育就是在培養你那些非班專的能力
[00:02:59,599 -> 00:03:01,199] 可是我們都回到硬式教育了
[00:03:01,199 -> 00:03:03,680] 去搞那些完全沒有意義的東西
[00:03:03,680 -> 00:03:04,840] 我們要為什麼去學他們
[00:03:04,840 -> 00:03:07,199] 因為考試要考就這麼簡單
[00:03:07,199 -> 00:03:09,039] 那我們在工作中也是
[00:03:09,039 -> 00:03:10,719] 我們想去做創造
[00:03:10,719 -> 00:03:13,159] 我們想去搞那些有用的東西
[00:03:13,159 -> 00:03:15,439] 可是我們不搬磚系統就塌了
[00:03:15,439 -> 00:03:17,360] 就是說我們就必須要去搬磚
[00:03:17,360 -> 00:03:19,560] 它佔據了我們絕大多數時間精力的時候
[00:03:19,560 -> 00:03:21,960] 我們就是沒有腦子去做那些事情了
[00:03:21,960 -> 00:03:23,680] 我覺得人類不應該是這樣的
[00:03:23,680 -> 00:03:25,680] 所以XJPT能取代班專
[00:03:25,680 -> 00:03:27,120] 能消滅應試教育
[00:03:27,120 -> 00:03:29,280] 我覺得是非常非常開心的
[00:03:29,280 -> 00:03:29,919] 哦對了
