[00:00:00,000 -> 00:00:01,600] 不知道大家有没有这样的感觉
[00:00:01,600 -> 00:00:03,240] 在我们现在这个社会下
[00:00:03,240 -> 00:00:05,320] 我们很容易随着年龄越来越大
[00:00:05,320 -> 00:00:06,599] 朋友越来越少
[00:00:06,599 -> 00:00:08,480] 有意义的链接越来越少
[00:00:08,480 -> 00:00:10,119] 因为你年纪大了以后
[00:00:10,119 -> 00:00:13,560] 就没有场合去认识这么多志同道合的朋友了
[00:00:13,560 -> 00:00:15,119] 这个规律可能没有办法避免
[00:00:15,119 -> 00:00:17,399] 但是我们可以做点什么来对抗这个规律
[00:00:17,399 -> 00:00:19,960] 所以我非常开心的跟大家宣布
[00:00:19,960 -> 00:00:22,320] 我的会员社群正式上线了
[00:00:22,320 -> 00:00:25,120] 其实我几个月之前就做了一個微信群
[00:00:25,120 -> 00:00:26,879] 很多同學反饋非常有意義
[00:00:26,879 -> 00:00:29,480] 在裏邊產生了非常多的高質量的對話
[00:00:29,679 -> 00:00:31,679] 但是微信有很多它的問題
[00:00:31,679 -> 00:00:34,799] 我現在終於找到了一個比較好的解法
[00:00:34,799 -> 00:00:36,840] 我有一個專門的文章去講這件事情
[00:00:36,840 -> 00:00:38,200] 在這兒就不多廢話了
[00:00:38,200 -> 00:00:39,280] 如果你感興趣
[00:00:39,280 -> 00:00:42,560] 我為什麼要用這樣的方式去搭建這樣一個社群
[00:00:42,560 -> 00:00:44,240] 歡迎去讀那篇文章
[00:00:44,479 -> 00:00:47,000] 在這兒我就簡單快速的跟大家介紹这样一个社群欢迎去读那篇文章在这我就简单快速的跟大家介绍一下
[00:00:47,000 -> 00:00:48,899] 这个社群对你的意义是什么
[00:00:48,899 -> 00:00:51,299] 你可以怎么样子去使用这个社群
[00:00:51,299 -> 00:00:53,100] 我觉得这个社群有三个意义
[00:00:53,100 -> 00:00:54,500] 第一个意义就是我刚刚说的
[00:00:54,500 -> 00:00:57,700] 和一群志同道合的人产生有意义的链接
[00:00:57,700 -> 00:01:01,299] 这里不光是每个人所做的非常走心的介绍
[00:01:01,299 -> 00:01:04,099] 可以让你看到一个更完整更全貌的人
[00:01:04,099 -> 00:01:06,400] 不管是大家非常深度的讨论
[00:01:06,400 -> 00:01:08,799] 或者说我在这里边所办的活动
[00:01:08,799 -> 00:01:10,719] 昨天晚上刚刚办完了第一场活动
[00:01:10,719 -> 00:01:13,519] 你可以跟大佬面对面的对话提出问题
[00:01:13,519 -> 00:01:15,439] 他给你非常真诚的解答
[00:01:15,439 -> 00:01:17,519] 你不需要做fine tune
[00:01:17,519 -> 00:01:18,719] 不要做alignment
[00:01:18,719 -> 00:01:20,640] 不要做什么增量的pre-train
[00:01:20,640 -> 00:01:21,920] 都没有意义
[00:01:21,920 -> 00:01:24,319] 我也邀请了和未来会邀请更多
[00:01:24,319 -> 00:01:27,640] 我采访过的嘉宾和我所认识的有意思的朋友
[00:01:27,640 -> 00:01:30,159] 他们都会一起参与到这个社群之中
[00:01:30,159 -> 00:01:31,640] 第二个关键词应该是服换
[00:01:31,640 -> 00:01:34,200] 在我go to market那期视频里边讲了
[00:01:34,200 -> 00:01:37,359] 我觉得一个好的想法是要go to market很多次的
[00:01:37,359 -> 00:01:42,319] 你在一个安全能给你提供很多有意义的反馈的地方
[00:01:42,319 -> 00:01:46,000] 把你这个想法打磨好是非常重要的一件事情
[00:01:46,000 -> 00:01:48,079] 雖然社群剛剛上線一個周
[00:01:48,079 -> 00:01:50,200] 但是我已經有了一個非常好的案例
[00:01:50,200 -> 00:01:51,640] 就是Tony同學
[00:01:51,640 -> 00:01:52,879] 他在自我介紹的時候
[00:01:52,879 -> 00:01:54,359] 提到自己會相面
[00:01:54,359 -> 00:01:55,319] 我就跟他說
[00:01:55,319 -> 00:01:56,480] 你去我們貼吧裡邊
[00:01:56,480 -> 00:01:57,959] 去做一個相面的帖子
[00:01:57,959 -> 00:01:59,200] 他去做了
[00:01:59,200 -> 00:02:00,680] 結果分享非常的熱烈
[00:02:00,680 -> 00:02:01,959] 然後大家看了以後也都覺得
[00:02:01,959 -> 00:02:04,359] 哇 對這件事情產生了一個新的認知
[00:02:04,359 -> 00:02:06,319] 甚至也有一個很有意義的討論
[00:02:06,319 -> 00:02:08,560] 就是有同學質疑相面這種東西
[00:02:08,560 -> 00:02:10,439] 這種玄學是不是騙人的
[00:02:10,439 -> 00:02:13,080] 他有機會去因為這個問題
[00:02:13,080 -> 00:02:16,960] 而更加完整的闡述自己對這件事情的理解
[00:02:16,960 -> 00:02:18,919] 我覺得非常的有意義
[00:02:18,919 -> 00:02:22,879] 我接下來還打算邀請他在社區裡面去辦一個活動
[00:02:22,879 -> 00:02:25,960] 跟我們講一下相学的一些基本原理
[00:02:25,960 -> 00:02:28,639] 和他可能可以和观众进行在线项面
[00:02:28,639 -> 00:02:30,599] 我觉得也会非常有意思
[00:02:30,599 -> 00:02:33,560] 接下来他会把这件事情take到哪里我不知道
[00:02:33,560 -> 00:02:37,400] 但是总之这个社群让他把他的特长
[00:02:37,400 -> 00:02:38,800] 展现给了更多的人
[00:02:38,800 -> 00:02:42,560] 让更多的人对他有了更全方位和更深度的了解
[00:02:42,560 -> 00:02:44,639] 而且我在规则里边也强调了
[00:02:44,639 -> 00:02:46,240] 我并不反对商业化
[00:02:46,240 -> 00:02:48,960] 我欢迎会员们用这个平台去
[00:02:48,960 -> 00:02:50,120] 腐化自己的想法
[00:02:50,120 -> 00:02:51,520] 并得到合理的报酬
[00:02:51,520 -> 00:02:52,439] 但是前提是
[00:02:52,439 -> 00:02:54,680] 你要对其他的人产生更大的价值
[00:02:54,680 -> 00:02:56,360] 所以说你参与到这个社群里边
[00:02:56,360 -> 00:02:58,280] 也能看到更多有意义的尝试
[00:02:58,280 -> 00:02:59,639] 和更多可能性吧
[00:02:59,639 -> 00:03:00,719] 这到了第三点
[00:03:00,719 -> 00:03:01,240] 营养
[00:03:01,240 -> 00:03:02,919] 而且要讲一下
[00:03:02,919 -> 00:03:06,639] 为什么我觉得一个有门槛的社群是非常重要的
[00:03:07,000 -> 00:03:11,120] 其实我们这个社群会是一个公开和私密的结合
[00:03:11,120 -> 00:03:13,319] 比如说大家的自我介绍是公开的
[00:03:13,319 -> 00:03:15,759] 这样方便大家去把自我介绍
[00:03:15,759 -> 00:03:17,879] 做成一个自己的互联网名片
[00:03:17,919 -> 00:03:19,800] 你可以快app的去转发
[00:03:20,159 -> 00:03:22,000] 整个社群是基于web
[00:03:22,039 -> 00:03:24,000] 而不是基于某一个特定app的
[00:03:24,199 -> 00:03:27,319] 所以它的好处就是它天生就面向整个互联网
[00:03:27,319 -> 00:03:31,039] 可是虽然我们一些信息是愿意面向整个互联网的
[00:03:31,039 -> 00:03:36,000] 但是我觉得一些讨论和一些想法的腐坏应该是有门槛的
[00:03:36,000 -> 00:03:38,240] 我的微信群也证明了这一点
[00:03:38,240 -> 00:03:39,479] 这里可能有三点
[00:03:39,479 -> 00:03:44,560] 一个是网络它就是一个不是那么安全的地方充满了喷子
[00:03:44,560 -> 00:03:48,439] 所以说有门槛把杠精和噴子隔絕在外面
[00:03:48,439 -> 00:03:49,960] 對你的價值觀不認同
[00:03:49,960 -> 00:03:52,199] 甚至攻擊你的價值觀的人隔絕在外面
[00:03:52,199 -> 00:03:54,039] 我覺得其實非常的有必要
[00:03:54,039 -> 00:03:56,800] 第二點就是在一個門檻社區裡邊
[00:03:56,800 -> 00:03:58,280] 你就會有一個觀眾感
[00:03:58,280 -> 00:04:01,120] 你知道和你一群的人是一個什麼樣的人
[00:04:01,120 -> 00:04:03,560] 你說話可以面向他們去說話
[00:04:03,560 -> 00:04:06,719] 這也有利於提升你自己說話的思路
[00:04:06,759 -> 00:04:07,800] 提升你的思維
[00:04:07,840 -> 00:04:09,360] 提升你的心造筆
[00:04:09,719 -> 00:04:11,520] 第三點基於前兩者
[00:04:11,560 -> 00:04:14,159] 我相信在這樣一個門檻社群裡邊
[00:04:14,159 -> 00:04:16,680] 其實大家的鏈接和互動是更多的
[00:04:16,720 -> 00:04:18,759] 如果說你是一個公開互聯網的話
[00:04:18,879 -> 00:04:20,199] 最後所有的聲音
[00:04:20,240 -> 00:04:22,560] 都被那些噴子的聲音給佔據了
[00:04:22,839 -> 00:04:25,040] 真正發言裡邊有内容有内涵的人
[00:04:25,040 -> 00:04:26,519] 他其实是不愿意发言的
[00:04:26,519 -> 00:04:28,480] 但是在这个门槛社区里边
[00:04:28,480 -> 00:04:31,079] 这些有内涵的人就更愿意发言
[00:04:31,079 -> 00:04:33,399] 这在我看来是非常重要的
[00:04:33,399 -> 00:04:35,759] 所以说你在这样一个社区里边
[00:04:35,759 -> 00:04:38,839] 你也会得到一些非常有营养的内容
[00:04:38,839 -> 00:04:40,480] 其实我在做这个社区之后
[00:04:40,480 -> 00:04:43,560] 我发现我刷小红书和刷抖音的时间少了很多
[00:04:43,560 -> 00:04:47,399] 我希望未来社区里面会产生更多有意思丰富的内容
[00:04:47,399 -> 00:04:50,120] 减少我去刷那些无聊的短视频
[00:04:50,120 -> 00:04:54,120] 无聊的自媒体的那些营销文的时间
[00:04:57,759 -> 00:04:59,959] 以上就是这个社群的介绍了
[00:05:00,839 -> 00:05:03,439] 加入方法你只要点开我们的网页
[00:05:03,439 -> 00:05:05,160] superlinear.academy上面就有完整的加入方法你只要点开我们的网页superlinear.academy
[00:05:05,160 -> 00:05:07,199] 上面就有完整的加入方法
[00:05:07,199 -> 00:05:10,439] 它对外会有一个3美元每个月的门槛
[00:05:10,439 -> 00:05:12,879] 但是如果你是我的YouTube或者B站的
[00:05:12,879 -> 00:05:13,959] 专属党会员的话
[00:05:13,959 -> 00:05:15,560] 你就可以终身免费加入
[00:05:15,560 -> 00:05:17,240] 如果你不是我的会员的话
[00:05:17,240 -> 00:05:19,360] 那我非常建议你加入我的会员
[00:05:19,360 -> 00:05:21,079] 我的YouTube和B站的会员
[00:05:21,079 -> 00:05:22,160] 简单介绍一下的话
[00:05:22,160 -> 00:05:25,519] 每个周会发起码一期专属视频
[00:05:25,519 -> 00:05:27,199] 我的专属档视频有两类
[00:05:27,199 -> 00:05:29,879] 第一类是我的访谈的完整版
[00:05:29,879 -> 00:05:32,639] 第二类是我对某个话题的
[00:05:32,639 -> 00:05:35,279] 比较深入的思考和讨论
[00:05:35,279 -> 00:05:37,800] 访谈的完整版的意义在于
[00:05:37,800 -> 00:05:39,839] 你给互联网公开传播的时候
[00:05:39,839 -> 00:05:42,920] 很多人是不想听你思考的过程的
[00:05:42,920 -> 00:05:44,240] 他们只想听结论
[00:05:44,240 -> 00:05:45,240] 也没有办法
[00:05:45,240 -> 00:05:47,040] 很多时候为了视频的时长
[00:05:47,040 -> 00:05:49,959] 我们就是不能呈现这些完整的思考过程
[00:05:49,959 -> 00:05:51,040] 但是在完整版里边
[00:05:51,040 -> 00:05:53,279] 这些细节都会全部保留
[00:05:53,279 -> 00:05:54,879] 不光是我们推理的过程
[00:05:54,879 -> 00:05:58,399] 其实很多时候嘉宾的一个暂停
[00:05:58,399 -> 00:05:59,839] 嘉宾的一个思考
[00:05:59,839 -> 00:06:02,600] 嘉宾对一个话题的眼神
[00:06:02,600 -> 00:06:04,199] 都是非常重要的信息
[00:06:04,199 -> 00:06:07,399] 但是这些信息在公开版只能剪掉
[00:06:07,399 -> 00:06:09,560] 因为大多数人是不想看也看不懂
[00:06:09,560 -> 00:06:12,000] 所以说完整版你可以把它理解成一个
[00:06:12,000 -> 00:06:15,240] Whole Foods它其实是更有Macronutrients
[00:06:15,240 -> 00:06:17,600] 就是有更多的微量的营养
[00:06:17,600 -> 00:06:21,480] 这些营养不像糖或者脂肪短期可以让你得到满足
[00:06:21,480 -> 00:06:25,040] 但是它在长期来说对你的身体对你的思考是非常有益的
[00:06:25,639 -> 00:06:28,360] 第二个就是我对一些深度话题的探讨
[00:06:28,360 -> 00:06:31,160] 比如说我为什么不去加入AI公司
[00:06:31,160 -> 00:06:33,160] 我对AI公司的前景怎么看
[00:06:33,319 -> 00:06:36,720] 比如说我预言圆梦之星的溃败和
[00:06:36,920 -> 00:06:38,839] 腾讯以及其他大厂的问题
[00:06:38,839 -> 00:06:41,240] 和我觉得真正的solution是什么样子的
[00:06:41,439 -> 00:06:43,199] 比如说我对运气的专题
[00:06:43,439 -> 00:06:44,600] 怎么理解运气
[00:06:44,800 -> 00:06:46,600] 怎么样子去找到有价值的工作
[00:06:46,600 -> 00:06:47,920] 找到有价值的工作的话
[00:06:47,920 -> 00:06:51,319] 你的Attention, Effort和Time的关系是什么
[00:06:51,319 -> 00:06:52,839] 手艺又是什么
[00:06:52,839 -> 00:06:56,439] 我在跟很多水准很高的人交往的时候
[00:06:56,439 -> 00:06:58,879] 比如说我跟Ethan他在讲的时候
[00:06:58,879 -> 00:07:01,079] 他就觉得我总结的非常的好
[00:07:01,079 -> 00:07:04,439] 那我在这些视频里边又有更深度的
[00:07:04,439 -> 00:07:07,839] 更详实的有各种各樣案例的解讀
[00:07:07,839 -> 00:07:10,279] 在我看來都是非常有價值的視頻
[00:07:10,279 -> 00:07:11,600] 我在這些專屬視頻下面
[00:07:11,600 -> 00:07:13,399] 也經常看到會員朋友們的留言
[00:07:13,399 -> 00:07:15,600] 覺得這些視頻的價值太高了
[00:07:15,600 -> 00:07:16,800] 錢花得太值了
[00:07:16,800 -> 00:07:18,279] 所以說我的這個攝取人
[00:07:18,279 -> 00:07:20,279] 其實他的要求也是
[00:07:20,279 -> 00:07:23,279] 你只要是我一次會員就可以終身免費
[00:07:23,279 -> 00:07:25,560] 我並不要求你保持這個會員身份
[00:07:25,560 -> 00:07:28,480] 因為我對這個會員的價值非常的自信
[00:07:28,480 -> 00:07:30,680] 我相信你只要給他一次機會
[00:07:30,680 -> 00:07:32,600] 你就會認可其中的價值
[00:07:32,600 -> 00:07:33,920] 如果你不認可
[00:07:33,920 -> 00:07:36,000] 或者說我之後做的不好了
[00:07:36,000 -> 00:07:37,000] 你不再認可了
[00:07:37,000 -> 00:07:39,519] 那也歡迎你隨時取消這個會員的訂閱
[00:07:39,519 -> 00:07:41,160] 你仍然可以留在這個社區
[00:07:41,160 -> 00:07:42,199] 不會有任何的區別
[00:07:42,199 -> 00:07:43,199] 那好的
[00:07:43,199 -> 00:07:45,600] 這就是這個社區�的介绍
[00:07:45,600 -> 00:07:49,120] 一个好的社区是由其中的人和其中的内容决定的
