[00:00:00,000 -> 00:00:01,560] 大家好欢迎回到课代表立正
[00:00:01,560 -> 00:00:02,960] 我是你们的课代表
[00:00:02,960 -> 00:00:04,839] 今天又是在隔离酒店
[00:00:04,839 -> 00:00:06,960] 如果大家看我之前的视频也看到了
[00:00:06,960 -> 00:00:08,679] 我前段时间去了美国
[00:00:08,679 -> 00:00:10,640] 我现在回到国内开始隔离
[00:00:10,640 -> 00:00:12,039] 这次是其他三天
[00:00:12,039 -> 00:00:13,439] 这期节目我想跟大家聊一下
[00:00:13,439 -> 00:00:16,039] 我对数据科学的新的理解
[00:00:16,280 -> 00:00:17,800] 其实我在之前的节目
[00:00:17,800 -> 00:00:19,280] 也聊过很多这方面的内容
[00:00:19,679 -> 00:00:20,640] 但是那个时候
[00:00:20,640 -> 00:00:22,480] 我主要是指出来一个误区
[00:00:22,519 -> 00:00:25,199] 就是数据分析数据科学
[00:00:25,199 -> 00:00:26,800] 我觉得不应该分开
[00:00:26,800 -> 00:00:29,600] 而且我觉得做分析就是做科学
[00:00:29,600 -> 00:00:32,399] 但是那个时候我虽然指出来这个误区
[00:00:32,399 -> 00:00:36,200] 可是我没有给出一个关于数据科学的非常好的定义
[00:00:36,200 -> 00:00:40,200] 就是我说数据科学家不应该只去做模型
[00:00:40,200 -> 00:00:47,119] 然后这些大厂也不应该去想方设法的把做模型的数据科学家和做分析的数据科学家分开
[00:00:47,119 -> 00:00:49,719] 可是我没有说数据科学家到底是什么
[00:00:49,719 -> 00:00:53,320] 这段时间我想的稍稍比较通顺了
[00:00:53,320 -> 00:00:55,000] 我就跟大家分享一下
[00:00:55,000 -> 00:00:58,799] 其实这个定义也是一个非常简单的定义
[00:00:58,799 -> 00:01:01,479] 就是数据科学无非就是这四个字
[00:01:01,479 -> 00:01:06,040] 但是对于科学我会把它选择一个更加本质的定义
[00:01:06,040 -> 00:01:07,079] 我本来想用广义
[00:01:07,079 -> 00:01:09,599] 但是我现在觉得本质可能更贴切
[00:01:09,599 -> 00:01:12,359] 之前我们狭义的
[00:01:12,359 -> 00:01:16,879] 或者说是表面的定义是做模型等于科学
[00:01:16,879 -> 00:01:18,400] 但是我现在觉得
[00:01:18,400 -> 00:01:21,280] 我接下来要描述的做的这些事情等于科学
[00:01:21,280 -> 00:01:24,000] 什么是我理解的科学的本质呢
[00:01:24,000 -> 00:01:27,040] 每个人想到科学这个词都可能会想到这一个例子
[00:01:27,040 -> 00:01:32,280] 就是牛顿通过苹果砸到脑袋上发现了万用理理内的这个例子
[00:01:32,280 -> 00:01:37,359] 但是如果说我们把它和现实的很多科学研究去类比一下
[00:01:37,359 -> 00:01:42,319] 会发现很多现实工作中的不好的科学研究是什么
[00:01:42,319 -> 00:01:44,599] 他们是你观测到一个苹果掉下来了
[00:01:44,599 -> 00:01:47,680] 接下来你就去看一个橙子掉下来是什么样子的
[00:01:47,680 -> 00:01:49,439] 一个梨掉下来是什么样子的
[00:01:49,439 -> 00:01:51,760] 一个桃子掉下来是什么样子的
[00:01:51,760 -> 00:01:52,959] 可是牛顿做的
[00:01:52,959 -> 00:01:56,799] 是他通过苹果掉下来这一件事情
[00:01:56,799 -> 00:01:58,799] 去探寻它背后的道理
[00:01:58,799 -> 00:02:02,480] 最后发现了宇宙的一个非常本质的规律
[00:02:02,480 -> 00:02:05,840] 所以说牛顿发现万有引力是一个好科学
[00:02:05,840 -> 00:02:09,719] 而很多的坏科学或者说是没有用的科学
[00:02:09,719 -> 00:02:11,840] 就是你看了苹果掉下来
[00:02:11,840 -> 00:02:14,120] 你去研究橙子掉下来和研究鲤鱼掉下来
[00:02:14,120 -> 00:02:17,400] 我们在工作中其实也会发现很多这样的事情
[00:02:17,400 -> 00:02:19,159] 比如说我看到一个广告
[00:02:19,159 -> 00:02:20,759] 它的消耗量是多少
[00:02:20,759 -> 00:02:21,919] 它的转化率是多少
[00:02:21,919 -> 00:02:24,400] 它对应的肯定是有人群素材等等
[00:02:24,400 -> 00:02:27,439] 那一个不本质的理解是什么
[00:02:27,439 -> 00:02:30,120] 就是我去把其他的各种combination全都去试一遍
[00:02:30,120 -> 00:02:32,199] 然后去看看所有的这些是什么
[00:02:32,199 -> 00:02:35,159] 然后这个东西量比别的低了
[00:02:35,159 -> 00:02:37,000] 那它是不是有什么原因等等等等
[00:02:37,840 -> 00:02:40,319] 可是一个真正本质的科学理解
[00:02:40,319 -> 00:02:44,479] 或者说我们自己数据科学对自己的要求是什么
[00:02:44,479 -> 00:02:46,919] 就是应该你看到了这个广告
[00:02:46,919 -> 00:02:50,080] 然后你去想它背后的运行机制是什么
[00:02:50,080 -> 00:02:54,000] 你对整个市场系统用户都有理解
[00:02:54,000 -> 00:02:57,159] 然后你再去想转化率它到底意味着是什么东西
[00:02:57,159 -> 00:02:59,800] 你可能背后会发现很多其他的内容
[00:02:59,800 -> 00:03:01,439] 我在工作中有一些具体的例子
[00:03:01,599 -> 00:03:04,439] 但是因为敏感关系我就在这不展开了
[00:03:04,439 -> 00:03:09,120] 总之好的科学是你通过表象去探寻本质
[00:03:09,120 -> 00:03:10,039] 探寻规律
[00:03:10,039 -> 00:03:12,560] 不好的科学就是你看到了A
[00:03:12,560 -> 00:03:15,280] 然后去A1 A2 A3这样去一个一个试
[00:03:15,439 -> 00:03:16,960] 我还想再取第二个例子
[00:03:16,960 -> 00:03:20,360] 第二个例子在我之前讲认知的那期视频里边
[00:03:20,360 -> 00:03:22,319] 也有跟大家讲过
[00:03:22,319 -> 00:03:24,960] 我这就把它再跟数据科学给联系起来
[00:03:24,960 -> 00:03:27,840] 这是铲羽摩托车维修医书》那本书里的一个例子
[00:03:27,840 -> 00:03:32,080] 书里作者说你在维修摩托车的时候有两种方法
[00:03:32,080 -> 00:03:34,560] 其实和我们在遇到一个bug的时候
[00:03:34,560 -> 00:03:35,919] debug的方法很像
[00:03:35,919 -> 00:03:38,080] 第一种方法你就去试
[00:03:38,080 -> 00:03:40,400] 你就觉得123这种东西去试
[00:03:40,400 -> 00:03:41,360] 然后一个试
[00:03:41,360 -> 00:03:44,080] 然后试了第二种方法
[00:03:44,080 -> 00:03:44,960] 然后车好了
[00:03:44,960 -> 00:03:45,000] 那你就ok车修好了你就继续往下就行了然后一个一个试 然后试了第二种方法然后测好了
[00:03:45,000 -> 00:03:47,080] 那你就ok 测修好了
[00:03:47,080 -> 00:03:48,280] 你就继续往下就行了
[00:03:48,280 -> 00:03:50,439] 很多时候大家debugging的时候也会这样子
[00:03:50,439 -> 00:03:52,800] 就是先去网上搜出现了这样的问题
[00:03:52,800 -> 00:03:53,520] 可能是哪里
[00:03:53,520 -> 00:03:54,360] 然后去试
[00:03:54,360 -> 00:03:56,439] 反正试了几次几个不同的东西
[00:03:56,439 -> 00:03:57,960] 有一个正好恰好work了
[00:03:57,960 -> 00:04:00,240] 那你就去使用这种方法就行了
[00:04:00,520 -> 00:04:03,039] 可是假设你网上是找不到答案的
[00:04:03,039 -> 00:04:04,759] 然后你这样试也试不出来
[00:04:04,759 -> 00:04:05,759] 到底是为什么
[00:04:05,759 -> 00:04:07,199] 你遇到了一个复杂问题
[00:04:07,199 -> 00:04:08,639] 这个时候你应该怎么办
[00:04:08,639 -> 00:04:12,800] 这个时候你就会用scientific framework去解决这个问题
[00:04:12,800 -> 00:04:14,319] 什么是scientific framework
[00:04:14,319 -> 00:04:19,040] 你在脑子中会抽象出来一个关于这个摩托车的模型
[00:04:19,040 -> 00:04:20,560] 你的发动机是干什么的
[00:04:20,560 -> 00:04:21,600] 你的离合器是干什么的
[00:04:21,600 -> 00:04:22,639] 你的刹车是干什么的
[00:04:22,639 -> 00:04:24,720] 你的发动机的能量是怎么传到离合器的
[00:04:24,720 -> 00:04:25,000] 你的每个零件都可以干什么等等你对这个合器是干什么的你的刹车是干什么的你的发动机的能量是怎么传到离合器的
[00:04:25,000 -> 00:04:28,000] 你的每个零件都可以干什么等等
[00:04:28,000 -> 00:04:30,000] 你对这个摩托车了解的越深入
[00:04:30,000 -> 00:04:31,000] 你的知识越深
[00:04:31,000 -> 00:04:34,000] 你对整个系统的整体运作越清楚
[00:04:34,000 -> 00:04:36,000] 你的模型就越正确
[00:04:36,000 -> 00:04:39,000] 有一个正确的模型是非常重要的
[00:04:39,000 -> 00:04:41,000] 如果你有了正确的模型
[00:04:41,000 -> 00:04:43,000] 你接下来面前的摩托车
[00:04:43,000 -> 00:04:45,720] 就是你这个模型的一个现实的input
[00:04:45,720 -> 00:04:49,720] 你会发现这个地方的声音它应该是这样子的
[00:04:49,720 -> 00:04:50,600] 但是它不是
[00:04:50,600 -> 00:04:53,120] 可能就表示这里出现了问题
[00:04:53,120 -> 00:04:55,519] 它出现了这样的不一样的异响
[00:04:55,519 -> 00:04:58,279] 可能代表这个零件出了什么样的问题
[00:04:58,279 -> 00:05:00,759] 我应该去怎么样子去修复它
[00:05:00,759 -> 00:05:02,240] 但是你在做这些判断
[00:05:02,360 -> 00:05:05,079] 就是它的声音正常还是不正常是异响还是正常的声音但是你做的这些判断就是它的声音正常还是不正常
[00:05:05,079 -> 00:05:06,720] 是异响还是正常的声音
[00:05:07,079 -> 00:05:09,000] 但是你做的这些判断
[00:05:09,000 -> 00:05:11,079] 就是它的声音是一个异响
[00:05:11,079 -> 00:05:12,360] 还是一个正常的声音
[00:05:12,399 -> 00:05:14,199] 然后这个异响的话
[00:05:14,240 -> 00:05:17,040] 它表示哪个零件出了什么样的问题
[00:05:17,079 -> 00:05:18,279] 都是你脑子中的
[00:05:18,480 -> 00:05:20,720] 关于摩托车的抽象模型告诉你的
[00:05:20,720 -> 00:05:22,480] 而不是你眼前的摩托车告诉你的
[00:05:22,480 -> 00:05:24,279] 你眼前的摩托车只是告诉你
[00:05:24,319 -> 00:05:28,240] 它的不同的位置到底是有什么样的input
[00:05:28,240 -> 00:05:29,920] 然后你在你的脑子中
[00:05:29,920 -> 00:05:31,839] 这个摩托车得到了结论说
[00:05:31,839 -> 00:05:33,399] 如果这个零件出了什么问题
[00:05:33,399 -> 00:05:34,560] 我应该去怎么修它
[00:05:34,560 -> 00:05:35,600] 做完这个步骤以后
[00:05:35,600 -> 00:05:38,000] 你脑子中的抽象摩托车模型会告诉你
[00:05:38,000 -> 00:05:40,399] 修好了以后它应该怎么样子去运作
