[00:00:00,000 -> 00:00:02,720] 到我们这一代没有什么特别好的行业
[00:00:03,279 -> 00:00:05,519] 我觉得我们这一代最好的行业是什么
[00:00:05,519 -> 00:00:06,280] 当网红
[00:00:06,879 -> 00:00:08,800] 这我觉得现在中国唯一能挣快钱的行业
[00:00:08,800 -> 00:00:09,279] 嗯
[00:00:09,480 -> 00:00:12,599] 就是当嗯抖音网红当小红书网红
[00:00:12,919 -> 00:00:14,919] 这是我对比这么多周围的行业
[00:00:14,919 -> 00:00:16,879] 唯一一个能挣快钱的行业
[00:00:18,039 -> 00:00:21,000] 你你的那个你也是做一个支持类mcn嘛
[00:00:21,000 -> 00:00:24,320] 然后你发现你的博主从这个所谓挣快钱
[00:00:24,320 -> 00:00:27,640] 就是他们从素人到起号一般会经历多久
[00:00:27,640 -> 00:00:30,000] 然后他们从起号到赚大钱会经历多久
[00:00:30,000 -> 00:00:30,440] 明白
[00:00:30,440 -> 00:00:32,439] 我觉得一波一波吧
[00:00:32,439 -> 00:00:35,000] 这个事情是个偶然性非常强的行业
[00:00:35,000 -> 00:00:37,960] 所以也让很多人都冲进这个行业里
[00:00:37,960 -> 00:00:40,479] 我觉得00后一定是对比起来
[00:00:40,479 -> 00:00:42,079] 通过这个互联网
[00:00:42,079 -> 00:00:43,479] 通过短视频
[00:00:43,479 -> 00:00:47,000] 通过自媒体去养活自己比例最高的一个人群
[00:00:47,000 -> 00:00:48,679] 对 我的问题问的不好
[00:00:48,679 -> 00:00:50,320] 就是他没有一个普世的东西
[00:00:50,320 -> 00:00:53,359] 但是就是比如说现在我这个问题
[00:00:53,359 -> 00:00:54,799] 其实是在帮一些老板问的
[00:00:54,799 -> 00:00:58,840] 这些老板就是也是那些传统行业的老板
[00:00:58,840 -> 00:01:01,640] 他们看到了互联网流量经济的重要
[00:01:01,640 -> 00:01:02,200] 对吧
[00:01:02,200 -> 00:01:04,519] 他们想去要么去收
[00:01:04,519 -> 00:01:05,439] 要么去培养
[00:01:05,439 -> 00:01:06,400] 要么去合作
[00:01:06,400 -> 00:01:06,799] 明白
[00:01:06,799 -> 00:01:09,359] 但是他们并不知道这个东西
[00:01:09,359 -> 00:01:11,560] 就是这些人是一些什么样的人
[00:01:11,560 -> 00:01:12,799] 这些人能赚多少钱
[00:01:12,799 -> 00:01:13,120] 明白
[00:01:13,120 -> 00:01:15,079] 所以说就是我们不是说一个
[00:01:15,079 -> 00:01:16,480] 普世的规律说
[00:01:16,480 -> 00:01:17,879] 职场人怎么做
[00:01:17,879 -> 00:01:20,400] 而是说你看到的这些
[00:01:20,400 -> 00:01:23,079] 现在的值得合作的这些人
[00:01:23,560 -> 00:01:26,000] 他们日常收入是什么样子的
[00:01:26,000 -> 00:01:27,000] 从而那些老板们知道
[00:01:27,000 -> 00:01:29,000] 他们在跟这些人打交道的时候
[00:01:29,000 -> 00:01:30,000] 需要的价码是什么样子
[00:01:30,000 -> 00:01:33,000] 明白 这个还是非常可怕的
[00:01:33,000 -> 00:01:34,000] 头部的抖音网红呢
[00:01:34,000 -> 00:01:37,000] 个人进兜的收入都是上亿的
[00:01:37,000 -> 00:01:39,000] 头部的怎么定义
[00:01:39,000 -> 00:01:41,000] 千万 千万以上的
[00:01:41,000 -> 00:01:43,000] 对 个人的进要报都是上亿的
[00:01:43,000 -> 00:01:44,000] 这个是非常负责的
[00:01:44,000 -> 00:01:45,799] 也要取决于赛道也要取决于赛道
[00:01:46,519 -> 00:01:48,319] 呃也要取决于赛道
[00:01:48,319 -> 00:01:49,959] 因为我认识西雅图的那个保罗
[00:01:49,959 -> 00:01:51,519] 他好像没有赚什么
[00:01:51,519 -> 00:01:52,680] 明白明白明白
[00:01:52,680 -> 00:01:54,760] 他最多就能给乐高代言
[00:01:54,760 -> 00:01:55,760] 然后明白
[00:01:55,760 -> 00:01:57,920] 呃其实呢这个
[00:01:58,879 -> 00:02:00,280] 举几个典型的啊
[00:02:00,640 -> 00:02:01,920] 这个电商类的
[00:02:01,920 -> 00:02:02,400] 嗯
[00:02:02,799 -> 00:02:04,680] 以及呢这个汽车类的
[00:02:10,000 -> 00:02:12,000] 这是最容易出千万网红的锤类我们叫锤类
[00:02:12,000 -> 00:02:14,000] 那再次一点的
[00:02:14,000 -> 00:02:16,000] 其实小红书
[00:02:16,000 -> 00:02:18,000] 十万粉丝
