[00:00:00,000 -> 00:00:01,600] Hello 大家好
[00:00:01,600 -> 00:00:03,000] 欢迎回到课代表例正
[00:00:03,000 -> 00:00:05,000] 今天我们请来了Francer同学
[00:00:05,000 -> 00:00:06,280] 给我们分享一下
[00:00:06,280 -> 00:00:07,759] 他作为一个应届生
[00:00:07,759 -> 00:00:10,199] 加入腾讯游戏的工作体验
[00:00:10,880 -> 00:00:11,839] Hello 大家好
[00:00:11,839 -> 00:00:13,160] 我的名字叫Francer
[00:00:13,160 -> 00:00:15,960] 我是19年加入的腾讯做游戏
[00:00:15,960 -> 00:00:17,679] 在19年刚开始的时候
[00:00:17,679 -> 00:00:18,679] 我是做的运营
[00:00:18,679 -> 00:00:21,879] 然后到现在是做的是海外合作项目管理
[00:00:21,879 -> 00:00:23,960] 从运营转成了项目管理
[00:00:23,960 -> 00:00:24,960] 对 是的
[00:00:24,960 -> 00:00:25,399] 对 那应该很有意思Francer 你说一下你的学校吧做的是海外合作项目管理从运营转成了项目管理对是的
[00:00:25,399 -> 00:00:26,480] 对那应该很有意思
[00:00:26,480 -> 00:00:28,600] Francis 你说一下你的学校吧
[00:00:28,600 -> 00:00:33,159] 我是大学和研究生都是在美国那边上学
[00:00:33,159 -> 00:00:35,560] 大学在Indiana University
[00:00:35,560 -> 00:00:38,679] 然后研究生是在Rochester University
[00:00:38,679 -> 00:00:40,840] 大学和研究生学的东西都还蛮像的
[00:00:40,840 -> 00:00:44,479] 大学是关于一个叫Informatics
[00:00:44,479 -> 00:00:45,600] 信息学的一個東西
[00:00:45,600 -> 00:00:47,799] 然後到研究生就是學的Data Science
[00:00:47,799 -> 00:00:50,600] 哦 我們都是同行
[00:00:50,600 -> 00:00:51,600] 對 是的
[00:00:51,600 -> 00:00:54,200] 但是你做了運營 然後做項目管理
[00:00:54,200 -> 00:00:56,399] 這個你在你同學裡面多嗎
[00:00:56,399 -> 00:01:01,000] 其實蠻少的 說實話
[00:01:01,000 -> 00:01:02,799] 就是大部分很多同學
[00:01:02,799 -> 00:01:04,200] 他們會做了一些運營過後
[00:01:04,200 -> 00:01:05,099] 他們會轉去做策划
[00:01:05,099 -> 00:01:09,000] 因为发现自己对游戏里面的设计或者产品内的设计会更感兴趣一点
[00:01:09,000 -> 00:01:13,000] 等等你说的是做数据的专业的同学们吗
[00:01:13,000 -> 00:01:17,000] 我说的是进了腾讯的那些同学
[00:01:17,000 -> 00:01:20,000] 先讲腾讯内的那些朋友吧
[00:01:20,000 -> 00:01:23,000] 就是他们可能就是很多做了运营稿过后
[00:01:23,000 -> 00:01:25,439] 他们可能会发现自己对游戏内的东西会更感兴趣一点就是他們可能就是很多做了運營港過後他們可能會發現自己對遊戲內的東西
[00:01:25,439 -> 00:01:26,519] 會更感興趣一點
[00:01:26,519 -> 00:01:28,200] 然後他們很多想法都是說
[00:01:28,200 -> 00:01:30,319] 我要去轉成策劃去做
[00:01:30,319 -> 00:01:33,120] 但我發現在我做運營港的時候
[00:01:33,120 -> 00:01:35,200] 我其實更感興趣的是
[00:01:35,200 -> 00:01:37,120] 人與人之間的溝通
[00:01:37,120 -> 00:01:39,920] 或者是說怎麼讓一個所有的需求啊
[00:01:39,920 -> 00:01:43,159] 順利的信息都打通的順利的交換什麼的
[00:01:43,159 -> 00:01:44,879] 所以說我就
[00:01:44,879 -> 00:01:46,319] 非常高貴的非常高贵的
[00:01:46,319 -> 00:01:49,079] 非常高贵的附近没有你这种人的话
[00:01:49,079 -> 00:01:50,640] 我们很多东西就会非常痛苦
[00:01:50,640 -> 00:01:50,840] 对
[00:01:50,840 -> 00:01:51,840] 然后我之后就发现
[00:01:51,840 -> 00:01:54,439] 我觉得做的项目管理还蛮感兴趣的
[00:01:54,439 -> 00:01:55,760] 哇
[00:01:55,760 -> 00:01:57,280] 策划我们也采访了一位同学
[00:01:57,280 -> 00:01:58,359] 如果大家感兴趣的话
[00:01:58,359 -> 00:01:59,799] 对游戏策划大学做什么的
[00:01:59,799 -> 00:02:01,760] 就去看那期视频就好了
[00:02:01,760 -> 00:02:03,799] 我们截图打在这里
[00:02:03,799 -> 00:02:06,439] 那我们先講講你的這個
[00:02:06,439 -> 00:02:06,920] 怎麼說呢
[00:02:06,920 -> 00:02:09,360] 應屆生校招進騰訊的這個經歷吧
[00:02:09,360 -> 00:02:13,120] 你這個海外應屆生和國內應屆生是一樣的嗎
[00:02:13,120 -> 00:02:13,719] 還是
[00:02:13,719 -> 00:02:14,960] 嗯
[00:02:14,960 -> 00:02:15,879] 稍微有點區別吧
[00:02:15,879 -> 00:02:19,599] 然後我的那一年可能跟近幾年還有點區別
[00:02:19,599 -> 00:02:21,520] 因為今年大家也知道疫情的影響嘛
