[00:00:00,000 -> 00:00:03,560] Hello 大家好 欢迎回到课代表聊数据的第11期
[00:00:03,560 -> 00:00:05,759] 这期视频我跟大家聊一下
[00:00:05,759 -> 00:00:10,359] 数据是怎么样子帮一个产品或者一个功能找到Paramarket Fit
[00:00:10,359 -> 00:00:13,160] 在第17的时候我不是跟大家聊过吗
[00:00:13,160 -> 00:00:17,320] 就是数据科学家或者数据可以帮产品做的几件比较重要的事情
[00:00:17,320 -> 00:00:20,320] 最重要的我觉得就是找Paramarket Fit这件事情了
[00:00:20,320 -> 00:00:23,879] 那Paramarket Fit我们主要是看两个主要的metrics
[00:00:23,879 -> 00:00:26,000] 一个是adoption,一个是retention
[00:00:26,000 -> 00:00:29,199] 其实retention是一个更复杂,然后也更重要
[00:00:29,199 -> 00:00:31,300] 然后也有更多维度去看它的东西
[00:00:31,300 -> 00:00:34,500] 并且retention就是你有各种看它的方法
[00:00:34,500 -> 00:00:36,200] 你也有各种解读它的方法
[00:00:36,200 -> 00:00:38,200] 我们就把它留到下期再讲
[00:00:38,200 -> 00:00:41,899] 那我们这期就去讲一下adoption这件事
[00:00:41,899 -> 00:00:44,700] 以及我会用一个切身实际的例子
[00:00:44,700 -> 00:00:48,000] 去讲为什么大家会overestimate adoption
[00:00:48,000 -> 00:00:51,200] 因为我在公司里看到的绝大多数的人
[00:00:51,200 -> 00:00:54,280] 他在刚刚做出来一个产品或者一个功能的时候
[00:00:54,280 -> 00:00:56,920] 他都会特别乐观的去估计adoption
[00:00:56,920 -> 00:00:59,960] 但是其实真实的adoption是很难做上去的
[00:00:59,960 -> 00:01:00,280] 好
[00:01:00,280 -> 00:01:00,840] 那话不多说
[00:01:00,840 -> 00:01:01,479] 我们就开始吧
[00:01:01,479 -> 00:01:02,280] adoption是什么
[00:01:02,280 -> 00:01:04,400] adoption就是大家采用率
[00:01:04,400 -> 00:01:06,519] 就是大家使用你的比例
[00:01:06,519 -> 00:01:08,560] 比如说我们就打开一个APP
[00:01:08,560 -> 00:01:09,480] 打开美团
[00:01:09,480 -> 00:01:11,359] 它上面有这么多的功能 是吧
[00:01:11,359 -> 00:01:13,120] 包括上面的这些什么骑车
[00:01:13,519 -> 00:01:14,400] 然后有搜索
[00:01:14,719 -> 00:01:15,920] 然后这些乱七八糟的
[00:01:15,920 -> 00:01:16,719] 这些乱七八糟的
[00:01:16,719 -> 00:01:17,719] 和这些乱七八糟的
[00:01:17,719 -> 00:01:19,040] 然后他们有各种各样的红点
[00:01:19,040 -> 00:01:20,159] 想方设法的上点
[00:01:20,159 -> 00:01:23,840] 他们这个就是为了增加这一个小功能的adoption
[00:01:23,840 -> 00:01:25,920] 比如说我们去点一个东西呢
[00:01:25,920 -> 00:01:28,200] 那我们点了是不是就adopt了呢
[00:01:28,200 -> 00:01:30,000] 其实这就是误区之一
[00:01:30,000 -> 00:01:32,519] 就是很多人在做adoption的时候
[00:01:32,519 -> 00:01:35,000] 他只看有多少人点就完了
[00:01:35,000 -> 00:01:36,680] 他其实算的是一个click-through-rate
[00:01:36,680 -> 00:01:38,719] 就是我点这个button的click-through-rate
[00:01:38,719 -> 00:01:41,159] 但是我觉得你要真的看好adoption
[00:01:41,159 -> 00:01:42,359] 你要看四个东西
